f,fieldStation,type,easting,northing,notes,strike,dip,assocTrend,assocPlunge,assocRake,trend,plunge,featureType,foliationType,otherStructure,otherStructureType,hingeTrend,hingePlunge,axialPlaneStrike,axialPlaneDip,sampleName,sampleOrientationNote,imageID,imageID2,imageID3,imageID4,imageID5,imageID6,imageID7,imageID8,imageID9,imageID10
359,Ame18fieldstation-206,Point,119.9095105,-21.32683811,Very stripy biotite gneiss. Just north of where we camped for the night.,116,64,,,100,,,,,,,,,,,AME18_105a,115 59,15279075880565.jpg,15279074350036.jpg,15279073902075.jpg,,,,,,,
364,Ame18fieldstation-208,Point,119.9747968,-21.37223808,Partially migmatite and veined orthogneiss of the Underwood unit. Two tabular zones where leucosimes intermingle with a mafic biotite rich band. (See pic). The granitic portions of the gneiss have differing grain size_ from coarse to fine. These zones parallel the mafic zones and foliation.,126,66,,,120,,,,,,,,,,,AME18_107 geochemistry,,15279976328399.jpg,15279968278318.jpg,,,,,,,,
365,Ame18fieldstation-208,Point,119.9747968,-21.37223808,Partially migmatite and veined orthogneiss of the Underwood unit. Two tabular zones where leucosimes intermingle with a mafic biotite rich band. (See pic). The granitic portions of the gneiss have differing grain size_ from coarse to fine. These zones parallel the mafic zones and foliation.,130,65,,,113,,,,,,,,,,,AME18_107 geochemistry,,15279976328399.jpg,15279968278318.jpg,,,,,,,,
366,Ame18fieldstation-208,Point,119.9747968,-21.37223808,Partially migmatite and veined orthogneiss of the Underwood unit. Two tabular zones where leucosimes intermingle with a mafic biotite rich band. (See pic). The granitic portions of the gneiss have differing grain size_ from coarse to fine. These zones parallel the mafic zones and foliation.,137,68,,,114,,,,,,,,,,,AME18_107 geochemistry,,15279976328399.jpg,15279968278318.jpg,,,,,,,,
367,Ame18fieldstation-209,Point,119.9835353,-21.36172887,"1.37 0.42 0.57 0.03

Ams station.",174,54,,,,,,foliation,mineral_alignm,,,,,,,AME18_108 a and b,H n,15280030170057.jpg,,,,,,,,,
368,Ame18fieldstation-210,Point,119.9805782,-21.35692862,"Banded gneiss.

.05 .04 .08 0.10",120,85,,,,,,foliation,mineral_alignm,,,,,,,AME18_109 a and b,H n,15280046191358.jpg,15280045903270.jpg,,,,,,,,
53,Ame18fieldstation-27,Point,119.9446412,-21.34901998,Felsic schist_ May be garnet bearing_ or may be felsic erruptive rock.,121,81,,,,,,foliation,schistosity,,,,,,,AME18_11,,,,,,,,,,,
370,Ame18fieldstation-211,Point,119.976978,-21.35001973,"Banded grey gneiss coarse grained.

.0 -.03 .04 .01",136,55,,,,,,foliation,mineral_alignm,,,,,,,AME18_110 a b,H n,15280069713753.jpg,15280059886111.jpg,,,,,,,,
372,Ame18fieldstation-212,Point,119.9715878,-21.34106732,"Banded gneiss. Sample is definitely in place_ sample b is 80 sure in place. Block between them has shifted.

.20 .74 .52 .38",110,58,,,,,,foliation,mineral_alignm,,,,,,,AME18_111 a b,H n. A also has fol plane 110 58 marked.,15280089823093.jpg,,,,,,,,,
373,Ame18fieldstation-213,Point,119.9654219,-21.32478383,".00 .03 .03 -.03

Another banded gneiss. Sampled fine grained homogenous bands.",305,84,,,,,,foliation,mineral_alignm,,,,,,,AME18_112 a b,H n,15280113921450.jpg,15280112476157.jpg,,,,,,,,
376,Ame18fieldstation-215,Point,119.9738407,-21.31841822,"Foliated granite. 

1.40
2.60
1.69
3.08",112,78,,,,,,,,,,,,,,AME18_114 a b,H n,15280155013650.jpg,,,,,,,,,
377,Ame18fieldstation-216,Point,119.9738318,-21.31842477,Banded migmatite has igneous contact with foliated granite. Migmatite bands subparallel to foliation of granite.,105,84,,,,,,foliation,mineral_alignm,,,,,,,AME18_115 geochemistry,,15280157324750.jpg,15280156784747.jpg,,,,,,,,
379,Ame18fieldstation-217,Point,120.0141333,-21.3197443,"Foliated granite. 

1.08 
.61
.15
1.23",295,66,,,,,,foliation,mineral_alignm,,,,,,,AME18_116 a b,H n,15280880688956.jpg,,,,,,,,,
380,Ame18fieldstation-218,Point,120.0059323,-21.31998268,"Foliated granite_ cool texture that Ross is collecting a sample of. Concentric ring of feldspars. 

1.45
1.20
.65
1.64",334,76,,,,,,foliation,mineral_alignm,,,,,,,AME18_117 a b,H n,15280899136593.jpg,15280898344397.jpg,,,,,,,,
382,Ame18fieldstation-219,Point,119.9993529,-21.31863759,"Foliated granite with aplite dikes.

.62
.69
2.21
0.59",281,66,,,,,,foliation,mineral_alignm,,,,,,,AME18_118 a b,Hn,15280926301429.jpg,,,,,,,,,
384,Ame18fieldstation-220,Point,120.0000322,-21.3094988,"Foliated granite. 

1.38
2.23
2.47
2.87",284,74,,,,,,foliation,mineral_alignm,,,,,,,AME18_119 a b,H n,15280948861563.jpg,,,,,,,,,
54,Ame18fieldstation-28,Point,119.9242293,-21.34817217,Hi Jed up into the hills from the camp down in the creek. The goal was to get into the slice of the Apex basalt. We are not sure if we are there_ but we certainly found garnets in a felsic schist. Sampled it.,103,72,,,98,,,,,,,,,,,AME18_012,Oriented by fabric_ 103 72 98,15259329767100.jpg,,,,,,,,,
385,Ame18fieldstation-221,Point,120.001689,-21.30147456,"Foliated granite

1.55
1.42
1.30
1.76",274,65,,,,,,foliation,mineral_alignm,,,,,,,AME18_120 a b,H n,15280968224416.jpg,15280967758793.jpg,,,,,,,,
387,Ame18fieldstation-222,Point,119.9906737,-21.30738872,"1.28
0.97
1.08
0.44",282,60,,,,,,foliation,mineral_alignm,,,,,,,AME18_121 a b,,15280996150044.jpg,,,,,,,,,
391,Ame18fieldstation-225,Point,119.8457182,-21.01832987,North Star basalt outcrop. Sheared metabasalt with potential pillow outlines. If so_ pillows are flattened and 2 m in width. diameter.,170,82,,,,,,,,,,,,,,AME18_123,,15281718145130.jpg,15281717020952.jpg,,,,,,,,
394,Ame18fieldstation-227,Point,120.1442654,-21.19383487,"Pophyritic granite with dark minerals every 5 cm or so. Magnetite? Halos of felsic around it. Foliation is variable in strength_ but hard to measure on the rounded outcrop. Quite weakly foliated in most places. 

0.00
0.38
0.03
0.08",136,65,,,,,,foliation,mineral_alignm,,,,,,,AME18_125 a b,H n,15284255596408.jpg,15284244088934.jpg,,,,,,,,
396,Ame18fieldstation-228,Point,120.133914,-21.19343095,"Coarse granite very similar to previous outcrop. Porphyroclasts of hornblende (?) with felsic halos. Concentration of these is higher here than at previous station. Very week foliation. Hornblend s seem to weakly align on the foliation surface to form a lineation. 

1.92
0.99
3.43
0.82",165,69,,,,,,,,,,,,,,AME18_126 a b,H n,15284280874699.jpg,,,,,,,,,
397,Ame18fieldstation-229,Point,120.1220142,-21.19281492,"Strongly foliated granite. Pegmatite present subparallel to foliation. 

0.04
2.64
0.37
2.58",116,79,,,,,,,,,,,,,,AME18_127 a b,H n,15284312317624.jpg,,,,,,,,,
399,Ame18fieldstation-230,Point,120.0939533,-21.19220207,"Medium to fine grained gneiss_ some small felsic bands_ but overall quite massive.

1.97
0.33
1.54
2.83",272,81,,,,,,foliation,mineral_alignm,,,,,,,AME18_128 a b,H n,15284356531400.jpg,15284354539040.jpg,,,,,,,,
401,Ame18fieldstation-231,Point,120.0939467,-21.19223766,Quartz vein in granite_ about 20 cm thick.,185,75,,,,,,,,,,,,,,AME18_129,185 75,15284363634927.jpg,15284361708781.jpg,,,,,,,,
403,Ame18fieldstation-232,Point,120.0651452,-21.19087317,"Very coarse gneiss with amphibole rich pegmatites. Sample b had to be remarked after sampling_ may be a few deg off.

0.70
0.73
0.74
1.14",130,80,,,,,,foliation,gneissic_folia,,,,,,,AME18_130 A b,H n,15284415688341.jpg,15284396999810.jpg,15284382405716.jpg,,,,,,,
406,Ame18fieldstation-233,Point,120.0453157,-21.18356901,"Heterogeneous gneiss. A medium to coarse foliated granite_ finely lamited fine grained gneiss.

0.02
0.03
0.02
0.08",290,46,,,,,,foliation,gneissic_folia,,,,,,,AME18_131 a b,H n,15284434291884.jpg,15284434214593.jpg,15284434142286.jpg,,,,,,,
409,Ame18fieldstation-234,Point,120.0337188,-21.18337769,"Banded and folded gneiss_ folds are horizontal hinges and verge to the northwest.

0.05
0.03
0.06
0.04",34,34,,,,,,foliation,gneissic_folia,,,,,,,AME18_132 a b,H n,15284457960027.jpg,15284451494705.jpg,15284450966262.jpg,15284450626187.jpg,15284449882877.jpg,,,,,
419,Ame18fieldstation-236,Point,120.1422524,-20.95209206,"Coppin’s gap granodiorite. Coarse grained with amphibole and or magnetite. Massive_ no easily discernible fabric. Best guess taken. 

0.43
0.96
0.33
0.50",214,85,,,,,,foliation,mineral_alignm,,,,,,,AME18_134 a b,H n,15285118365583.jpg,15285115469051.jpg,,,,,,,,
421,Ame18fieldstation-237,Point,120.1290363,-20.95585885,"Similar to last outcrop.

1.70
1.39
1.88
2.13",12,87,,,,,,foliation,mineral_alignm,,,,,,,AME18_135 a b,H n,15285141923360.jpg,,,,,,,,,
423,Ame18fieldstation-239,Point,120.0950333,-20.94113842,"1.31
1.32
1.11
1.05",156,69,,,,,,foliation,solid_state_mineral_alignment,,,,,,,AME18_137 a b,H n,15285207949543.jpg,,,,,,,,,
429,Ame18fieldstation-245,Point,120.1735759,-21.32716798,Picked up the undergrads Rex and Casey_ spent the night in Port Hedland_ and then drove straight to the Francois et al entrained granite locality. Hiked 2.5 kilometers from the truck to the southwest side of a prominent garnet hill. Found a metasedimentary rock with very garnet rich layers. Garnets are pea sized on average_ but have a range of grain sizes.,31,66,,,146,,,,,,,,,,,AME18_138A,031 66 SE 146,15286981077297.jpg,,,,,,,,,
430,Ame18fieldstation-245,Point,120.1735759,-21.32716798,Picked up the undergrads Rex and Casey_ spent the night in Port Hedland_ and then drove straight to the Francois et al entrained granite locality. Hiked 2.5 kilometers from the truck to the southwest side of a prominent garnet hill. Found a metasedimentary rock with very garnet rich layers. Garnets are pea sized on average_ but have a range of grain sizes.,22,75,,,148,,,,,,,,,,,AME18_138A,031 66 SE 146,15286981077297.jpg,,,,,,,,,
432,Ame18fieldstation-246,Point,120.173647,-21.32637368,"Medium grained gneiss_ some banding. Base of big granite hill. Sheared mafic enclaves.

1.55
2.11
0.29
2.36",50,68,,,,,,,,,,,,,,AME18_139 a b,H n,15287015011228.jpg,15287009830891.jpg,,,,,,,,
58,Ame18fieldstation-30,Point,119.9275334,-21.34632662,Thinly interbedded schist and chert layers. Interval is 1 cm_ but sampled one chert bed that is 12 cm thick.,295,64,,,80,,,,,,,,,,,AME18_014,,15259358586465.jpg,15259358430906.jpg,,,,,,,,
434,Ame18fieldstation-247,Point,120.1321373,-20.9757485,"Coppin’s gap granodiorite. Fine grained to medium grained gneiss. 

0.00
0.14
0.23
0.24",219,83,,,,,,,,,,,,,,AME18_140 a b,H n,15287670011581.jpg,,,,,,,,,
438,Ame18fieldstation-249,Point,120.0991384,-20.9869206,Previous drilling spot. Got a hand sample for thin sectioning. Strong foliation_ stretched quartz. Much stronger than previous station.,355,84,,,,,,,,,,,,,,AME18_142,H n,15287690964121.jpg,,,,,,,,,
439,Ame18fieldstation-249,Point,120.0991384,-20.9869206,Previous drilling spot. Got a hand sample for thin sectioning. Strong foliation_ stretched quartz. Much stronger than previous station.,5,82,,,,,,,,,,,,,,AME18_142,H n,15287690964121.jpg,,,,,,,,,
440,Ame18fieldstation-250,Point,120.0835453,-20.99179178,"Very coarse grained granodiorite. 1 cm feldspar laths_ smaller grained amphibole and biotite. 

0.10
0.13
0.10
0.08

In the same outcrop_ there is also a more mafic_ medium to fine grained granodiorite.",187,74,,,,,,,,,,,,,,AME18_143 a b,H n,15287710637113.jpg,15287710535987.jpg,15287709836854.jpg,,,,,,,
443,Ame18fieldstation-251,Point,120.0550386,-21.00751228,"0.04
0.01
0.02
0.03

Low outcrop of porphyritic granite with 1-2 cm feldspars.",50,60,,,,,,,,,,,,,,AME18_144 a b,H n,15287742870549.jpg,,,,,,,,,
444,Ame18fieldstation-252,Point,120.052909,-21.01743363,,98,64,,,,,,vein,,,,,,,,AME18_145 a b,,15287781876592.jpg,,,,,,,,,
447,Ame18fieldstation-253,Point,120.0468968,-21.04111856,A large 10 m across pavement. Slightly banded gneiss.,186,87,,,,,,foliation,gneissic_folia,,,,,,,AME18_146 a b,H n,15287835301234.jpg,,,,,,,,,
449,Ame18fieldstation-254,Point,120.0481386,-21.05169171,Foliated granite. Broke sledge hammer.,167,64,,,,,,,,,,,,,,AME18_147 a b,H n,15287858478784.jpg,,,,,,,,,
450,Ame18fieldstation-255,Point,120.0611331,-21.06627582,Amphibole rich granitic rock. Strong foliation. Sample b is only maybe in place. Sample a is very good and definitely in place. The two samples are about 20 m from one another.,270,76,,,,,,,,,,,,,,AME18_148 a b,H n,15287886884742.jpg,15287886430225.jpg,,,,,,,,
60,Ame18fieldstation-31,Point,119.925586,-21.32578485,Amphibolite banded gneiss_ migmatite in areas_ granitic bands present.,143,56,,,,,,foliation,gneissic_folia,,,,,,,AME18_015,,,,,,,,,,,
453,Ame18fieldstation-257,Point,120.1463429,-21.1917396,Medium grained amphibole granitoid with the occasiol very large (3 cm) feldspar. Banded in places.,161,62,,,,,,foliation,mineral_alignm,,,,,,,AME18_150 A b,H n,15288644146282.jpg,15288638173186.jpg,,,,,,,,
455,Ame18fieldstation-258,Point,120.1399487,-21.18463422,"Medium to coarse grained granitoid. Occasiol large feldspar phenocrysts.

1.01
1.11
0.93
0.79",165,86,,,,,,foliation,mineral_alignm,,,,,,,AME18_151 a b,,15288684799287.jpg,15288679657952.jpg,,,,,,,,
